"INDENTIFICADOR_INTERNO","CODIGO_GRUPO","NOMBRE_GRUPO","ANO_CONFORMACION","MES_CONFORMACION","CODIGO_CIUDAD","NOMBRE_CIUDAD","CODIGO_DPTO","NOMBRE_DPTO","ENTIDADES_AVALAN","COD_GRAN_AREA_CONOCIMIENTO","NOMBRE_GRAN_AREA_CONOCIMIENTO","COD_AREA_CONOCIMIENTO","NOMBRE_AREA_CONOCIMIENTO","COD_PROGRAMA_COLCIENCIAS","NOMBRE_PROGRAMA_COLCIENCIAS"
901,"COL0027797","GRUPO DE ESTUDIOS EN ARQUITECTURA Y URBANISTICA",2001,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",6,"HUMANIDADES","6D","ARTE",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
902,"COL0005655","GITEM",2000,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
903,"COL0014494","PROPROBOS",1999,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
904,"COL0027821","CRACOME",1999,7,1,"Bogot ",11,"Distrito Capital","CENTRO DE INVESTIGACION DOCENCIA Y CONSULTORIA ADMINISTRATIVA",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
905,"COL0011984","INDESOS - INVESTIGACION PARA EL DESARROLLO SOSTENIBLE",2002,11,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",9,"POR DEFINIR","9Z","POR DEFINIR",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
907,"COL0027859","GRUPO DE INVESTIGACION EN BIOINGENIERIA  - GINBIO",2002,5,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LA SALLE UNISALLE",2,"INGENIERIA Y TECNOLOGIA","2F","INGENIERIA MEDICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
908,"COL0027868","CONFLICTOS SOCIALES",1996,10,1,"Pereira",66,"Risaralda","UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP",9,"POR DEFINIR","9Z","POR DEFINIR",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
909,"COL0027877","CENTRO LASALLISTA DE INVESTIGACION Y MODELACION AMBIENTAL CLIMA",2004,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LA SALLE UNISALLE",2,"INGENIERIA Y TECNOLOGIA","2G","INGENIERIA AMBIENTAL",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
911,"COL0015689","REPRESENTACION; DISCURSO Y PODER",1999,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",5,"CIENCIAS SOCIALES","5D","SOCIOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
915,"COL0003801","ACCION MOTRIZ",2001,8,1,"Neiva",41,"Huila","UNIVERSIDAD SURCOLOMBIANA USCO",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
916,"COL0011812","GRUPO INVESTIGACION EN PROCESOS PSICOSOCIALES",2003,1,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA DEL AREA ANDINA SECCIONAL BOGOTA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
917,"COL0012874","UNIVERSIDAD VIRTUAL",1999,9,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",1,"CIENCIAS NATURALES","1B","COMPUTACION Y CIENCIAS DE LA INFORMACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
918,"COL0013619","ETNOEDUCACION;  SALUD Y DESARROLLO LOCAL",2001,3,1,"Cali",76,"Valle","UNIVERSIDAD LIBRE DE COLOMBIA CALI; FUNDACION SOCIAL SALUD HOLISTICA",5,"CIENCIAS SOCIALES","5E","DERECHO",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
919,"COL0015769","DESARROLLO LOCAL Y REGIONAL",2003,5,1,"Cali",76,"Valle","UNIVERSIDAD LIBRE DE COLOMBIA CALI",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
920,"COL0016194","FUNDACION SQUALUS",2002,9,1,"Cali",76,"Valle","FUND COLOMBIANA PARA LA INVESTIGACION Y CONSERVACION DE TIBURONES Y RAYAS",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",3,"CIENCIA TECNOLOGIA E INNOVACION DEL MAR Y DE LOS RECURSOS HIDROBIOLOGICOS"
921,"COL0017431","AVARC - AUTOMATIZACION; VISION ARTIFICIAL; ROBOTICA Y CONTROL",2002,5,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LA SALLE UNISALLE",2,"INGENIERIA Y TECNOLOGIA","2B","INGENIERIAS ELECTRICA ELECTRONICA E INFORMATICA",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
922,"COL0017449","EDUFISICA",2004,1,1,"Ibagu‚",73,"Tolima","UNIVERSIDAD DEL TOLIMA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
923,"COL0017727","OPTOS - OBSERVATORIO DE POLITICAS PUBLICAS TRANSFORMADORAS Y ORIENTADORAS EN SALUD",2004,1,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA DEL AREA ANDINA SECCIONAL BOGOTA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
924,"COL0017745","GRUPO CALIDAD",2003,3,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO; UNIVERSIDAD AUTONOMA DE COLOMBIA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
925,"COL0017754","FUNDACION NATURA COLOMBIA",1983,7,1,"Bogot ",11,"Distrito Capital","FUNDACION NATURA COLOMBIA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
928,"COL0018279","GRUPO DE ESTUDIO EN COMPETITIVIDAD ; ESTRATEGIA  E INNOVACION- GECEI",2003,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD MILITAR NUEVA GRANADA UNIMILITAR",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
929,"COL0018448","PYDES  PEDAGOGIA Y DIDACTICA EN LA EDUCACION SUPERIOR",2003,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD MILITAR NUEVA GRANADA UNIMILITAR",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
930,"COL0019006","FOTONICA Y OPTO-ELECTRONICA",2000,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1C","CIENCIAS FISICAS",5,"CIENCIAS BASICAS"
932,"COL0020329","GRESIA GRUPO DE INVESTIGACION EN RECURSOS; ECOLOGÞA; DESARROLLO SOSTENIBLE E INGENIERIA AMBIENTAL",2002,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD ANTONIO NARINO",2,"INGENIERIA Y TECNOLOGIA","2G","INGENIERIA AMBIENTAL",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
933,"COL0001799","CULTURA SEXUALIDAD Y EDUCACION",2000,5,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
934,"COL0021185","MATERIALES AVANZADOS Y ENERGIA",2000,12,1,"Medell¡n",5,"Antioquia","INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN ITM",2,"INGENIERIA Y TECNOLOGIA","2E","INGENIERIA DE LOS MATERIALES",11,"INVESTIGACIONES EN ENERGIA Y MINERIA"
935,"COL0003525","DIDACTEC",2002,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
936,"COL0021603","NEUROCIENCIAS DEL CARIBE",2001,5,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD SIMON BOLIVAR; UNIVERSIDAD DEL ATLANTICO",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
939,"COL0020212","GRUPO DE QUIMICA COMPUTACIONAL UNIVERSIDAD DE CORDOBA",2002,2,1,"Monter¡a",23,"Cordoba","UNIVERSIDAD DE CORDOBA UNICOR",1,"CIENCIAS NATURALES","1D","CIENCIAS QUIMICAS",5,"CIENCIAS BASICAS"
940,"COL0023377","AQUAFORMAT",2003,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
941,"COL0024525","REPRODUCCION Y RECURSOS GENETICOS TROPICALES",2004,1,1,"Villavicencio",50,"Meta","UNIVERSIDAD DE LA SALLE UNISALLE; CORPORACION COLOMBIANA DE INVESTIGACION AGROPECUARIA - CORPOICA",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",4,"CIENCIA TECNOLOGIA E INNOVACION AGROPECUARIA"
942,"COL0024964","SOLIDOS  POROSOS Y CALORIMETRIA APLICADA",2000,4,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DE LOS ANDES - UNIANDES",1,"CIENCIAS NATURALES","1D","CIENCIAS QUIMICAS",5,"CIENCIAS BASICAS"
943,"COL0025039","GRUPO DE INVESTIGACIONES EN DERECHO Y CIENCIA POLITICA",1998,1,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL NORTE - UNINORTE",5,"CIENCIAS SOCIALES","5E","DERECHO",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
945,"COL0025907","PENSAMIENTO AMBIENTAL",1993,2,1,"Manizales",17,"Caldas","UNIVERSIDAD NACIONAL DE COLOMBIA; UNIVERSIDAD DE CALDAS UNICALDAS; UNIVERSIDAD CATOLICA DE PEREIRA UCP",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
946,"COL0026065","FRAY ANTON DE MONTESINOS",2002,8,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
948,"COL0027886","CIENCIAS TERMICAS",1999,1,1,"Medell¡n",5,"Antioquia","INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN ITM",2,"INGENIERIA Y TECNOLOGIA","2C","INGENIERIA MECANICA",11,"INVESTIGACIONES EN ENERGIA Y MINERIA"
949,"COL0012622","INTERTEXTO",1999,7,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
950,"COL0022155","CYBERIA",2003,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
951,"COL0027901","GRUPO DE ALGEBRA   Y ANALISIS UPTC",2003,3,1,"Tunja",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",1,"CIENCIAS NATURALES","1A","MATEMATICA",5,"CIENCIAS BASICAS"
952,"COL0027919","CATALINA DE SIENA",2001,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
953,"COL0013209","LECTOESCRINAUTAS",2000,4,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
954,"COL0027939","GRUPO DE INGENIERIA ELECTROQUIMICA - GRIEQUI",1996,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",2,"INGENIERIA Y TECNOLOGIA","2D","INGENIERIA QUIMICA",11,"INVESTIGACIONES EN ENERGIA Y MINERIA"
958,"COL0027975","CIBEREDUCACION FUNDACION UNIVERSITARIA CATOLICA DEL NORTE",2001,9,686,"Santa Rosa de Osos",5,"Antioquia","FUNDACION UNIVERSITARIA CATOLICA DEL NORTE",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
959,"COL0027984","GRUPO DE INVESTIGACIONES EN ESTRATEGIA; ESTRUCTURA Y CULTURA ORGANIZACIONAL E.C.O.",2004,6,1,"Ibagu‚",73,"Tolima","UNIVERSIDAD DEL TOLIMA",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
960,"COL0027993","COMUNIQUEMONOS",2001,1,1,"Neiva",41,"Huila","UNIVERSIDAD SURCOLOMBIANA USCO",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
961,"COL0013871","MORALIA",2000,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS; UNIVERSIDAD PEDAGOGICA NACIONAL UPN",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
962,"COL0028014","MODELOS MATEMATICOS APLICADOS A LA INDUSTRIA",1995,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
963,"COL0013389","MATEMATICAS ESCOLARES U.D. - MESCUD",1995,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
964,"COL0028032","FAMILIA Y DESARROLLO HUMANO",2002,9,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD SIMON BOLIVAR",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
966,"COL0028059","GIA (GRUPO DE INVESTIGACION AGROINDUSTRIAL).",2002,7,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL ATLANTICO",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
967,"COL0028069","FARMACOGENETICA DEL CANCER",2003,6,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
968,"COL0003196","DIDACTICA DEL INGLES Y TECNOLOGIA",2000,2,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
972,"COL0028112","RAIMUNDO DE PENAFORT",2000,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",5,"CIENCIAS SOCIALES","5E","DERECHO",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
973,"COL0028121","BIOETICA Y EDUCACION AMBIENTAL",1999,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
975,"COL0013236","LENGUAJE; CULTURA E IDENTIDAD",1991,4,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
976,"COL0028159","ADMINISTRACION DE JUSTICIA Y POLICIA JUDICIAL",2002,2,1,"Cartagena",13,"Bolivar","FUNDACION TECNOLOGICA ANTONIO DE AREVALO - TECNAR; CORPORACION UNIVERSIDAD DE LA COSTA CUC",5,"CIENCIAS SOCIALES","5E","DERECHO",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
981,"COL0028201","AMBIENTES VIRTUALES EDUCATIVOS",2003,1,1,"Tunja",15,"Boyaca","UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",1,"CIENCIAS NATURALES","1B","COMPUTACION Y CIENCIAS DE LA INFORMACION",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
982,"COL0028219","ARTE Y CULTURA",1999,2,1,"Pereira",66,"Risaralda","UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
983,"COL0009189","GRUPO DE INVESTIGACION INTERNACIONAL EN INFORMATICA; COMUNICACION Y GESTION DEL CONOCIMIENTO GICOGE",2001,11,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS; ARKEBIOS SAS",1,"CIENCIAS NATURALES","1B","COMPUTACION Y CIENCIAS DE LA INFORMACION",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
985,"COL0028542","CRECIMIENTO ECONOMICO Y DESARROLLO",2000,1,1,"Pereira",66,"Risaralda","UNIVERSIDAD CATOLICA DE PEREIRA UCP",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
987,"COL0028257","GRUPO DE INVESTIGACION EN ECOSISTEMAS Y CAMBIO GLOBAL",2001,1,1,"Medell¡n",5,"Antioquia","CORPORACION DE CENTRO DE INVESTIGACION CARBONO BOSQUES",1,"CIENCIAS NATURALES","1F","CIENCIAS BIOLOGICAS",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
988,"COL0028266","MALINCHE",2003,2,99,"Bojaca",25,"Cundinamarca","UNIVERSIDAD DISTRITAL FRANCISCO JOSE DE CALDAS",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",13,"CIENCIA TECNOLOGIA E INNOVACION EN SEGURIDAD Y DEFENSA"
989,"COL0028275","PENSAMIENTO; FILOSOFIA Y SOCIEDAD",1999,8,1,"Bogot ",11,"Distrito Capital","CORPORACION UNIVERSITARIA MINUTO DE DIOS",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
990,"COL0028284","GESTION DE LA CALIDAD MIYAUCHI",2002,6,1,"Santa Marta",47,"Magdalena","UNIVERSIDAD DEL MAGDALENA UNIMAGDALENA",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
991,"COL0028293","GRUPO DE INVESTIGACION EN ENFERMEDADES ENDOCRINAS Y METABOLICAS",2004,8,1,"Pereira",66,"Risaralda","UNIVERSIDAD TECNOLOGICA DE PEREIRA UTP",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
992,"COL0028309","DIDACTICA Y MODELAMIENTO  EN CIENCIAS EXACTAS Y APLICADAS (DA VINCI)",2004,5,1,"Medell¡n",5,"Antioquia","INSTITUTO TECNOLOGICO METROPOLITANO DE MEDELLIN ITM",1,"CIENCIAS NATURALES","1A","MATEMATICA",5,"CIENCIAS BASICAS"
993,"COL0028319","CENTRO DE INVESTIGACION DE MERCADEO Y PUBLICIDAD- CIMEP",2004,8,276,"Floridablanca",68,"Santander","UNIVERSIDAD DE SANTANDER",5,"CIENCIAS SOCIALES","5H","PERIODISMO Y COMUNICACIONES",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
995,"COL0028337","GRUPO DE INVESTIGACION DE PARTIDOS POLITICOS DE LA UNIVERSIDAD NACIONAL DE COLOMBIA - UN PARTIDOS",1998,3,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD NACIONAL DE COLOMBIA",5,"CIENCIAS SOCIALES","5F","CIENCIAS POLITICAS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
996,"COL0028373","DERECHO PENAL Y REALIDAD",2001,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",5,"CIENCIAS SOCIALES","5E","DERECHO",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
997,"COL0028346","DESARROLLO; SALUD Y DESEMPENO HUMANO",2004,7,1,"Cartagena",13,"Bolivar","UNIVERSIDAD TECNOLOGICA DE BOLIVAR",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
998,"COL0028355","GRUPO DE INVESTIGACION EN MATEMATICAS E INGENIERIA  PROMENTE-KONRAD",2003,1,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA KONRAD LORENZ",1,"CIENCIAS NATURALES","1A","MATEMATICA",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
999,"COL0028364","DESARROLLO LOCAL; TRANSFORMACION PRODUCTIVA E INNOVACION Y COMPETITIVIDAD",2003,7,1,"Bogot ",11,"Distrito Capital","FUNDACION UNIVERSITARIA KONRAD LORENZ",5,"CIENCIAS SOCIALES","5B","ECONOMIA Y NEGOCIOS",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
1000,"COL0028382","ESTUDIOS JURIDICOS Y SOCIOJURIDICOS",2002,2,1,"Manizales",17,"Caldas","UNIVERSIDAD DE CALDAS UNICALDAS",5,"CIENCIAS SOCIALES","5E","DERECHO",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
1001,"COL0028391","GRUPO DE INVESTIGACION EN ESTRATIGRAFIA Y VULCANOLOGIA -GIEV-CUMANDAY",2003,6,1,"Manizales",17,"Caldas","UNIVERSIDAD DE CALDAS UNICALDAS",1,"CIENCIAS NATURALES","1E","CIENCIAS DE LA TIERRA Y MEDIOAMBIENTALES",5,"CIENCIAS BASICAS"
1002,"COL0028408","GRUPO DE ESTUDIOS DE ARQUITECTURA BIOCLIMATICA",2000,3,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL ATLANTICO",6,"HUMANIDADES","6D","ARTE",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
1003,"COL0028417","DERECHO Y SOCIEDAD",2001,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD SANTO TOMAS",6,"HUMANIDADES","6E","OTRAS HUMANIDADES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
1004,"COL0004101","EDUCACION MEDICA Y EN CIENCIAS DE LA SALUD",2000,9,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DEL ROSARIO",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
1005,"COL0011296","GRUPO DE INVESTIGACION CLINICA",2000,1,1,"Bogot ",11,"Distrito Capital","UNIVERSIDAD DEL ROSARIO",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
1006,"COL0028444","INVESTIGACIONES CLINICAS EN CANCER",2000,1,1,"Bogot ",11,"Distrito Capital","INSTITUTO NACIONAL DE CANCEROLOGIA INC; UNIVERSIDAD NACIONAL DE COLOMBIA",3,"CIENCIAS MEDICAS Y DE LA SALUD","3B","MEDICINA CLINICA",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
1007,"COL0028453","TECNOLOGIAS PARA LA PRODUCCION",1998,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD EAFIT",2,"INGENIERIA Y TECNOLOGIA","2K","OTRAS INGENIERIAS Y TECNOLOGIAS",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
