"INDENTIFICADOR_INTERNO","CODIGO_GRUPO","NOMBRE_GRUPO","ANO_CONFORMACION","MES_CONFORMACION","CODIGO_CIUDAD","NOMBRE_CIUDAD","CODIGO_DPTO","NOMBRE_DPTO","ENTIDADES_AVALAN","COD_GRAN_AREA_CONOCIMIENTO","NOMBRE_GRAN_AREA_CONOCIMIENTO","COD_AREA_CONOCIMIENTO","NOMBRE_AREA_CONOCIMIENTO","COD_PROGRAMA_COLCIENCIAS","NOMBRE_PROGRAMA_COLCIENCIAS"
8076,"COL0005379","GAS NATURAL Y TERMODINAMICA",1992,1,1,"Barranquilla",8,"Atlantico",NA,2,"INGENIERIA Y TECNOLOGIA","2C","INGENIERIA MECANICA",11,"INVESTIGACIONES EN ENERGIA Y MINERIA"
8077,"COL0015203","PROYECTO UNI-BARRANQUILLA",1995,8,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL NORTE - UNINORTE",3,"CIENCIAS MEDICAS Y DE LA SALUD","3C","CIENCIAS DE LA SALUD",2,"CIENCIA TECNOLOGIA E INNOVACION EN SALUD"
8078,"COL0008693","GRUPO DE INVESTIGACION DE PSICOLOGIA",1996,2,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL NORTE - UNINORTE",5,"CIENCIAS SOCIALES","5A","PSICOLOGIA",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8079,"COL0012355","INFORMATICA EDUCATIVA",1998,5,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL NORTE - UNINORTE",5,"CIENCIAS SOCIALES","5C","CIENCIAS DE LA EDUCACION",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
8080,"COL0013218","LENGUAJE Y EDUCACION",1992,1,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL NORTE - UNINORTE",6,"HUMANIDADES","6B","IDIOMAS Y LITERATURA",10,"CIENCIA TECNOLOGIA E INNOVACION EN EDUCACION"
8081,"COL0006269","GRUPO DE INVESTIGACIONES EN DESARROLLO HUMANO",1974,2,1,"Barranquilla",8,"Atlantico","UNIVERSIDAD DEL NORTE - UNINORTE",5,"CIENCIAS SOCIALES","5I","OTRAS CIENCIAS SOCIALES",7,"CIENCIAS TECNOLOGIAS E INNOVACION DE LAS AREAS SOCIALES Y HUMANAS"
8082,"COL0007579","GRUPO PULPA Y PAPEL",1997,7,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD PONTIFICIA BOLIVARIANA SEDE  MEDELLIN",2,"INGENIERIA Y TECNOLOGIA","2D","INGENIERIA QUIMICA",8,"DESARROLLO TECNOLOGICO E INNOVACION INDUSTRIAL"
8083,"COL0011008","GRUPO DE SISTEMAS E INFORMATICA",1995,1,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",1,"CIENCIAS NATURALES","1B","COMPUTACION Y CIENCIAS DE LA INFORMACION",9,"ELECTRONICA TELECOMUNICACIONES E INFORMATICA"
8084,"COL0003258","GRUPO DE INVESTIGACION EN CIENCIAS FORESTALES",1951,8,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",6,"CIENCIA TECNOLOGIA E INNOVACION EN AMBIENTE BIODIVERSIDAD Y HABITAT"
8085,"COL0001075","BIOTECNOLOGIA VEGETAL",1993,11,1,"Medell¡n",5,"Antioquia","UNIVERSIDAD NACIONAL DE COLOMBIA",4,"CIENCIAS AGRICOLAS","4A","AGRICULTURA SILVICULTURA Y PESCA",1,"BIOTECNOLOGIA"
